device,num_adversaries,f1,aggregation,injected
pi3-1gb,3,0.0,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,3,66.81465038845728,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,3,67.69570011025358,coordinate_wise_median,pi4-4gb
pi4-4gb,3,63.7911464245176,coordinate_wise_median,pi4-4gb
All,3,54.058984493767106,coordinate_wise_median,pi4-4gb
pi3-1gb,4,43.27784891165173,coordinate_wise_median,pi4-4gb
pi4-2gb-bc,4,39.722863741339495,coordinate_wise_median,pi4-4gb
pi4-2gb-wc,4,44.92099322799098,coordinate_wise_median,pi4-4gb
pi4-4gb,4,44.12094064949607,coordinate_wise_median,pi4-4gb
All,4,43.02393461762989,coordinate_wise_median,pi4-4gb
